"ALMACEN_ID","ALMACEN_NOMBRE","CIUDAD_NOMBRE","MES","TEMP_PROMEDIO_MES","TEMP_PROMEDIO_MES_ANTERIOR","VARIACION_VS_MES_ANTERIOR","MEDIA_MOVIL_3_MESES","DESVIACION_ESTANDAR_ALMACEN","RANKING_ESTABILIDAD_CIUDAD"
4,"Unidad de Salud Barranquilla 5","Barranquilla","01-FEB-26",21.85,,,21.85,1.52,1
4,"Unidad de Salud Barranquilla 5","Barranquilla","01-MAR-26",18.31,21.85,-3.54,20.08,1.52,1
4,"Unidad de Salud Barranquilla 5","Barranquilla","01-APR-26",21.36,18.31,3.05,20.51,1.52,1
4,"Unidad de Salud Barranquilla 5","Barranquilla","01-MAY-26",20.7,21.36,-.66,20.12,1.52,1
4,"Unidad de Salud Barranquilla 5","Barranquilla","01-JUN-26",20.36,20.7,-.34,20.81,1.52,1
4,"Unidad de Salud Barranquilla 5","Barranquilla","01-JUL-26",23.3,20.36,2.94,21.45,1.52,1
11,"CEDI Bogotá 13","Bogotá","01-FEB-26",-17.63,,,-17.63,1.71,1
11,"CEDI Bogotá 13","Bogotá","01-MAR-26",-23.25,-17.63,-5.62,-20.44,1.71,1
11,"CEDI Bogotá 13","Bogotá","01-APR-26",-19.34,-23.25,3.91,-20.07,1.71,1
11,"CEDI Bogotá 13","Bogotá","01-MAY-26",-21.11,-19.34,-1.77,-21.23,1.71,1
11,"CEDI Bogotá 13","Bogotá","01-JUN-26",-20.5,-21.11,.61,-20.32,1.71,1
11,"CEDI Bogotá 13","Bogotá","01-JUL-26",-20.85,-20.5,-.35,-20.82,1.71,1
12,"Planta Bogotá 2","Bogotá","01-FEB-26",-18.3,,,-18.3,2.22,2
12,"Planta Bogotá 2","Bogotá","01-MAR-26",-21.43,-18.3,-3.13,-19.87,2.22,2
12,"Planta Bogotá 2","Bogotá","01-APR-26",-20.23,-21.43,1.2,-19.99,2.22,2
12,"Planta Bogotá 2","Bogotá","01-MAY-26",-20.71,-20.23,-.48,-20.79,2.22,2
12,"Planta Bogotá 2","Bogotá","01-JUN-26",-18.43,-20.71,2.28,-19.79,2.22,2
12,"Planta Bogotá 2","Bogotá","01-JUL-26",-19.75,-18.43,-1.32,-19.63,2.22,2
12,"Planta Bogotá 2","Bogotá","01-AUG-26",-25.4,-19.75,-5.65,-21.19,2.22,2
17,"Unidad de Salud Bucaramanga 15","Bucaramanga","01-FEB-26",5.7,,,5.7,.52,1
17,"Unidad de Salud Bucaramanga 15","Bucaramanga","01-MAR-26",4.95,5.7,-.75,5.33,.52,1
17,"Unidad de Salud Bucaramanga 15","Bucaramanga","01-APR-26",5.2,4.95,.25,5.28,.52,1
17,"Unidad de Salud Bucaramanga 15","Bucaramanga","01-MAY-26",4.53,5.2,-.68,4.89,.52,1
17,"Unidad de Salud Bucaramanga 15","Bucaramanga","01-JUN-26",4.24,4.53,-.29,4.65,.52,1
17,"Unidad de Salud Bucaramanga 15","Bucaramanga","01-JUL-26",5.51,4.24,1.28,4.76,.52,1
25,"Planta Bucaramanga 20","Bucaramanga","01-FEB-26",5.05,,,5.05,.66,2
25,"Planta Bucaramanga 20","Bucaramanga","01-MAR-26",5.73,5.05,.68,5.39,.66,2
25,"Planta Bucaramanga 20","Bucaramanga","01-APR-26",4.46,5.73,-1.27,5.08,.66,2
25,"Planta Bucaramanga 20","Bucaramanga","01-MAY-26",5.14,4.46,.68,5.11,.66,2
25,"Planta Bucaramanga 20","Bucaramanga","01-JUN-26",3.87,5.14,-1.27,4.49,.66,2
25,"Planta Bucaramanga 20","Bucaramanga","01-JUL-26",4,3.87,.13,4.34,.66,2
18,"Planta Bucaramanga 23","Bucaramanga","01-FEB-26",-21.35,,,-21.35,.85,3
18,"Planta Bucaramanga 23","Bucaramanga","01-MAR-26",-20.28,-21.35,1.07,-20.82,.85,3
18,"Planta Bucaramanga 23","Bucaramanga","01-APR-26",-19.56,-20.28,.73,-20.4,.85,3
18,"Planta Bucaramanga 23","Bucaramanga","01-MAY-26",-19.2,-19.56,.36,-19.68,.85,3
18,"Planta Bucaramanga 23","Bucaramanga","01-JUN-26",-19.35,-19.2,-.15,-19.37,.85,3
18,"Planta Bucaramanga 23","Bucaramanga","01-JUL-26",-18.78,-19.35,.58,-19.11,.85,3
5,"CEDI Cartagena 12","Cartagena","01-FEB-26",4.92,,,4.92,.81,1
5,"CEDI Cartagena 12","Cartagena","01-MAR-26",6.18,4.92,1.26,5.55,.81,1
5,"CEDI Cartagena 12","Cartagena","01-APR-26",5.07,6.18,-1.11,5.39,.81,1
5,"CEDI Cartagena 12","Cartagena","01-MAY-26",4.16,5.07,-.9,5.14,.81,1
5,"CEDI Cartagena 12","Cartagena","01-JUN-26",4.28,4.16,.12,4.5,.81,1
5,"CEDI Cartagena 12","Cartagena","01-JUL-26",6.19,4.28,1.91,4.88,.81,1
2,"CEDI Cartagena 1","Cartagena","01-FEB-26",-17.15,,,-17.15,1.62,2
2,"CEDI Cartagena 1","Cartagena","01-MAR-26",-18.47,-17.15,-1.32,-17.81,1.62,2
2,"CEDI Cartagena 1","Cartagena","01-APR-26",-20.23,-18.47,-1.76,-18.61,1.62,2
2,"CEDI Cartagena 1","Cartagena","01-MAY-26",-20.85,-20.23,-.63,-19.85,1.62,2
2,"CEDI Cartagena 1","Cartagena","01-JUN-26",-20.91,-20.85,-.06,-20.66,1.62,2
2,"CEDI Cartagena 1","Cartagena","01-JUL-26",-18.41,-20.91,2.5,-20.06,1.62,2
2,"CEDI Cartagena 1","Cartagena","01-AUG-26",-22.05,-18.41,-3.64,-20.46,1.62,2
20,"Planta Cúcuta 21","Cúcuta","01-FEB-26",19.84,,,19.84,1.13,1
20,"Planta Cúcuta 21","Cúcuta","01-MAR-26",18.73,19.84,-1.1,19.29,1.13,1
20,"Planta Cúcuta 21","Cúcuta","01-APR-26",21.65,18.73,2.92,20.07,1.13,1
20,"Planta Cúcuta 21","Cúcuta","01-MAY-26",20.69,21.65,-.96,20.36,1.13,1
20,"Planta Cúcuta 21","Cúcuta","01-JUN-26",19.17,20.69,-1.52,20.5,1.13,1
20,"Planta Cúcuta 21","Cúcuta","01-JUL-26",18.43,19.17,-.74,19.43,1.13,1
7,"Planta Cúcuta 22","Cúcuta","01-FEB-26",18.23,,,18.23,1.68,2
7,"Planta Cúcuta 22","Cúcuta","01-MAR-26",19.57,18.23,1.34,18.9,1.68,2
7,"Planta Cúcuta 22","Cúcuta","01-APR-26",21.2,19.57,1.63,19.66,1.68,2
7,"Planta Cúcuta 22","Cúcuta","01-MAY-26",17.76,21.2,-3.44,19.51,1.68,2
7,"Planta Cúcuta 22","Cúcuta","01-JUN-26",21.48,17.76,3.72,20.14,1.68,2
7,"Planta Cúcuta 22","Cúcuta","01-JUL-26",20.13,21.48,-1.34,19.79,1.68,2
7,"Planta Cúcuta 22","Cúcuta","01-AUG-26",22.8,20.13,2.67,21.47,1.68,2
9,"CEDI Ibagué 17","Ibagué","01-FEB-26",-19.1,,,-19.1,1.75,1
9,"CEDI Ibagué 17","Ibagué","01-MAR-26",-19.66,-19.1,-.56,-19.38,1.75,1
9,"CEDI Ibagué 17","Ibagué","01-APR-26",-21.28,-19.66,-1.62,-20.01,1.75,1
