"MEDICAMENTO_NOMBRE","LOTE_CODIGO","FECHA_FABRICACION","FECHA_VENCIMIENTO"
"Adalimumab Jeringa prellenada","L72518","16-AUG-23","05-AUG-25"
"Adalimumab Jeringa prellenada","L54092","01-OCT-23","15-SEP-26"
"Adalimumab Jeringa prellenada","L84963","08-AUG-25","29-JUL-27"
"Adalimumab Jeringa prellenada","L15075","24-MAR-26","15-SEP-27"
"Adalimumab Jeringa prellenada","L52906","10-OCT-24","25-SEP-27"
"Adalimumab Suspensión inyectable","L99687","07-APR-24","02-APR-25"
"Adalimumab Suspensión inyectable","L96951","03-MAR-24","25-AUG-25"
"Adalimumab Suspensión inyectable","L61116","09-DEC-25","02-JUN-27"
"Adalimumab Suspensión inyectable","L86931","02-MAY-26","24-OCT-27"
"Bevacizumab Jarabe","L69460","02-JUL-25","24-DEC-26"
"Bevacizumab Jarabe","L43065","18-JAN-24","02-JAN-27"
"Bevacizumab Jarabe","L95841","22-FEB-24","06-FEB-27"
"Bevacizumab Jarabe","L74251","07-MAR-24","20-FEB-27"
"Bevacizumab Jarabe","L92544","05-SEP-24","21-AUG-27"
"Bevacizumab Jeringa prellenada","L68138","01-JAN-24","26-DEC-24"
"Bevacizumab Jeringa prellenada","L79066","26-APR-25","21-APR-26"
"Bevacizumab Jeringa prellenada","L13804","08-OCT-25","28-SEP-27"
"Bevacizumab Jeringa prellenada","L38760","12-FEB-25","28-JAN-28"
"Bevacizumab Jeringa prellenada","L89570","25-JAN-26","09-JAN-29"
"Calcitonina Ampolla","L82848","24-AUG-23","14-FEB-25"
"Calcitonina Ampolla","L15778","11-AUG-23","31-JUL-25"
"Calcitonina Ampolla","L15965","23-NOV-23","12-NOV-25"
"Calcitonina Ampolla","L67654","09-JAN-24","29-DEC-25"
"Calcitonina Ampolla","L78327","22-APR-26","14-OCT-27"
"Calcitonina Ampolla","L85248","09-NOV-24","25-OCT-27"
"Calcitonina Ampolla","L69087","15-DEC-24","30-NOV-27"
"Calcitonina Ampolla","L33788","12-JAN-26","27-DEC-28"
"Calcitonina Ampolla","L56025","12-JUN-26","27-MAY-29"
"Desmopresina Jarabe","L29313","23-SEP-23","17-SEP-24"
"Desmopresina Jarabe","L19961","13-DEC-24","08-DEC-25"
"Desmopresina Jarabe","L70332","20-JUL-25","10-JUL-27"
"Desmopresina Jeringa prellenada","L50768","12-MAR-24","07-MAR-25"
"Desmopresina Suspensión inyectable","L39949","28-NOV-25","18-NOV-27"
"Desmopresina Suspensión inyectable","L80592","21-APR-26","10-APR-28"
"Desmopresina Tableta","L61717","01-SEP-23","21-AUG-25"
"Desmopresina Tableta","L40005","15-SEP-23","04-SEP-25"
"Desmopresina Tableta","L51224","01-JAN-25","22-DEC-26"
"Desmopresina Tableta","L21188","10-FEB-24","25-JAN-27"
"Desmopresina Tableta","L39451","23-MAR-24","08-MAR-27"
"Desmopresina Tableta","L79531","17-OCT-24","02-OCT-27"
"Desmopresina Tableta","L48680","03-JUN-25","18-MAY-28"
"Desmopresina Tableta","L71605","16-JUL-25","30-JUN-28"
"Enoxaparina Ampolla","L80702","18-NOV-23","07-NOV-25"
"Enoxaparina Ampolla","L32838","28-JAN-25","23-JAN-26"
"Enoxaparina Ampolla","L22196","28-MAR-25","19-SEP-26"
"Enoxaparina Ampolla","L16629","17-JUN-25","09-DEC-26"
"Enoxaparina Jarabe","L10800","09-AUG-24","31-JAN-26"
"Enoxaparina Jarabe","L66349","18-MAR-24","08-MAR-26"
"Enoxaparina Jarabe","L79827","28-DEC-25","18-DEC-27"
"Enoxaparina Suspensión inyectable","L66450","28-MAY-24","19-NOV-25"
"Enoxaparina Suspensión inyectable","L50846","29-MAY-25","24-MAY-26"
"Enoxaparina Suspensión inyectable","L30006","01-APR-26","27-MAR-27"
"Enoxaparina Suspensión inyectable","L86350","02-JUN-24","18-MAY-27"
"Enoxaparina Suspensión inyectable","L47353","22-JUN-24","07-JUN-27"
"Enoxaparina Tableta","L19508","23-AUG-23","07-AUG-26"
"Enoxaparina Tableta","L26334","10-APR-25","31-MAR-27"
"Enoxaparina Tableta","L65936","05-MAY-25","25-APR-27"
"Enoxaparina Tableta","L67199","16-JUN-26","11-JUN-27"
"Enoxaparina Tableta","L41285","28-JAN-25","13-JAN-28"
"Eritropoyetina Jarabe","L86435","23-MAY-24","14-NOV-25"
"Eritropoyetina Jarabe","L14852","18-APR-24","08-APR-26"
"Eritropoyetina Jarabe","L62383","15-DEC-24","08-JUN-26"
"Etanercept Tableta","L14278","20-NOV-24","10-NOV-26"
"Etanercept Tableta","L12875","22-OCT-25","12-OCT-27"
"Etanercept Tableta","L76698","13-FEB-25","29-JAN-28"
"Filgrastim Ampolla","L45818","27-APR-25","17-APR-27"
"Filgrastim Jarabe","L76317","02-JUL-25","27-JUN-26"
"Filgrastim Jarabe","L62521","07-MAY-26","02-MAY-27"
"Filgrastim Jarabe","L64377","15-NOV-25","05-NOV-27"
"Filgrastim Jarabe","L46208","30-NOV-25","20-NOV-27"
"Filgrastim Jarabe","L72422","07-FEB-26","28-JAN-28"
"Filgrastim Jarabe","L93283","11-MAR-26","29-FEB-28"
"Filgrastim Jeringa prellenada","L84000","27-SEP-24","22-SEP-25"
"Filgrastim Jeringa prellenada","L93507","21-JAN-25","15-JUL-26"
"Filgrastim Jeringa prellenada","L15482","26-APR-25","16-APR-27"
"Filgrastim Jeringa prellenada","L93606","05-MAY-26","30-APR-27"
"Filgrastim Jeringa prellenada","L65176","16-JUL-26","11-JUL-27"
"Filgrastim Jeringa prellenada","L98039","09-APR-25","24-MAR-28"
"Filgrastim Jeringa prellenada","L46046","30-MAY-25","14-MAY-28"
"Filgrastim Jeringa prellenada","L35144","12-DEC-25","26-NOV-28"
"Filgrastim Jeringa prellenada","L47752","17-JAN-26","01-JAN-29"
"Filgrastim Suspensión inyectable","L60277","28-AUG-24","19-FEB-26"
"Filgrastim Suspensión inyectable","L27038","29-DEC-24","22-JUN-26"
"Heparina Sódica Jarabe","L69600","07-FEB-24","31-JUL-25"
"Heparina Sódica Jarabe","L13783","06-DEC-24","30-MAY-26"
"Heparina Sódica Jarabe","L94896","14-JUN-24","30-MAY-27"
"Heparina Sódica Jarabe","L71433","17-APR-25","01-APR-28"
"Heparina Sódica Tableta","L58843","26-APR-24","21-APR-25"
