almacen_nombre,almacen_ciudad,almacen_tipo,lote_codigo,medicamento_nombre,cantidad_disponible
CEDI Bogotá 13,Bogotá,Centro de distribución,L13804,Bevacizumab Jeringa prellenada,3387
CEDI Bogotá 13,Bogotá,Centro de distribución,L14705,Vacuna Hepatitis B Tableta,1146
CEDI Bogotá 13,Bogotá,Centro de distribución,L19602,Heparina Sódica Tableta,1742
CEDI Bogotá 13,Bogotá,Centro de distribución,L20350,Vacuna Fiebre Amarilla Ampolla,1071
CEDI Bogotá 13,Bogotá,Centro de distribución,L20561,Vacuna Hepatitis B Tableta,332
CEDI Bogotá 13,Bogotá,Centro de distribución,L23970,Vacuna COVID-19 Ampolla,2525
CEDI Bogotá 13,Bogotá,Centro de distribución,L25906,Infliximab Tableta,440
CEDI Bogotá 13,Bogotá,Centro de distribución,L29313,Desmopresina Jarabe,357
CEDI Bogotá 13,Bogotá,Centro de distribución,L31632,Vacuna Hepatitis B Suspensión inyectable,909
CEDI Bogotá 13,Bogotá,Centro de distribución,L32962,Insulina NPH Suspensión inyectable,647
CEDI Bogotá 13,Bogotá,Centro de distribución,L33509,Vacuna Influenza Ampolla,3174
CEDI Bogotá 13,Bogotá,Centro de distribución,L33819,Rituximab Jarabe,4649
CEDI Bogotá 13,Bogotá,Centro de distribución,L39219,Toxina Botulínica Jeringa prellenada,2157
CEDI Bogotá 13,Bogotá,Centro de distribución,L41285,Enoxaparina Tableta,1682
CEDI Bogotá 13,Bogotá,Centro de distribución,L46046,Filgrastim Jeringa prellenada,2586
CEDI Bogotá 13,Bogotá,Centro de distribución,L48680,Desmopresina Tableta,3793
CEDI Bogotá 13,Bogotá,Centro de distribución,L48974,Infliximab Vial,1953
CEDI Bogotá 13,Bogotá,Centro de distribución,L49507,Rituximab Suspensión inyectable,1111
CEDI Bogotá 13,Bogotá,Centro de distribución,L49651,Vacuna Hepatitis B Tableta,4775
CEDI Bogotá 13,Bogotá,Centro de distribución,L50768,Desmopresina Jeringa prellenada,2451
CEDI Bogotá 13,Bogotá,Centro de distribución,L50846,Enoxaparina Suspensión inyectable,3406
CEDI Bogotá 13,Bogotá,Centro de distribución,L54236,Vacuna Varicela Jeringa prellenada,3498
CEDI Bogotá 13,Bogotá,Centro de distribución,L58351,Vacuna Neumococo Tableta,43
CEDI Bogotá 13,Bogotá,Centro de distribución,L58629,Somatostatina Suspensión inyectable,4750
CEDI Bogotá 13,Bogotá,Centro de distribución,L60205,Toxina Botulínica Jeringa prellenada,3060
CEDI Bogotá 13,Bogotá,Centro de distribución,L63841,Toxina Botulínica Jeringa prellenada,2672
CEDI Bogotá 13,Bogotá,Centro de distribución,L64377,Filgrastim Jarabe,113
CEDI Bogotá 13,Bogotá,Centro de distribución,L67199,Enoxaparina Tableta,1805
CEDI Bogotá 13,Bogotá,Centro de distribución,L67711,Heparina Sódica Tableta,928
CEDI Bogotá 13,Bogotá,Centro de distribución,L69087,Calcitonina Ampolla,161
CEDI Bogotá 13,Bogotá,Centro de distribución,L69460,Bevacizumab Jarabe,516
CEDI Bogotá 13,Bogotá,Centro de distribución,L72518,Adalimumab Jeringa prellenada,4637
CEDI Bogotá 13,Bogotá,Centro de distribución,L73372,Vacuna Polio Inactivada Jarabe,3966
CEDI Bogotá 13,Bogotá,Centro de distribución,L76698,Etanercept Tableta,808
CEDI Bogotá 13,Bogotá,Centro de distribución,L78494,Somatostatina Vial,3195
CEDI Bogotá 13,Bogotá,Centro de distribución,L83920,Vacuna Hepatitis B Ampolla,4508
CEDI Bogotá 13,Bogotá,Centro de distribución,L84000,Filgrastim Jeringa prellenada,3180
CEDI Bogotá 13,Bogotá,Centro de distribución,L84963,Adalimumab Jeringa prellenada,3094
CEDI Bogotá 13,Bogotá,Centro de distribución,L87812,Infliximab Suspensión inyectable,574
CEDI Bogotá 13,Bogotá,Centro de distribución,L90676,Vacuna Fiebre Amarilla Ampolla,1464
CEDI Bogotá 13,Bogotá,Centro de distribución,L91183,Insulina NPH Suspensión inyectable,1639
CEDI Bogotá 13,Bogotá,Centro de distribución,L93307,Vacuna Polio Inactivada Tableta,4979
CEDI Bogotá 13,Bogotá,Centro de distribución,L94323,Somatostatina Suspensión inyectable,2494
CEDI Bogotá 13,Bogotá,Centro de distribución,L95175,Vacuna Fiebre Amarilla Tableta,4804
CEDI Bogotá 13,Bogotá,Centro de distribución,L97012,Infliximab Suspensión inyectable,1151
CEDI Bogotá 13,Bogotá,Centro de distribución,L98452,Trastuzumab Tableta,1672
CEDI Cartagena 1,Cartagena,Centro de distribución,L12875,Etanercept Tableta,3625
CEDI Cartagena 1,Cartagena,Centro de distribución,L14373,Infliximab Vial,2767
CEDI Cartagena 1,Cartagena,Centro de distribución,L23970,Vacuna COVID-19 Ampolla,4875
CEDI Cartagena 1,Cartagena,Centro de distribución,L31299,Vacuna COVID-19 Jarabe,2077
CEDI Cartagena 1,Cartagena,Centro de distribución,L33834,Vacuna Varicela Jeringa prellenada,1714
CEDI Cartagena 1,Cartagena,Centro de distribución,L34727,Vacuna Varicela Jeringa prellenada,4299
CEDI Cartagena 1,Cartagena,Centro de distribución,L43092,Vacuna Fiebre Amarilla Jeringa prellenada,4807
CEDI Cartagena 1,Cartagena,Centro de distribución,L47752,Filgrastim Jeringa prellenada,2812
CEDI Cartagena 1,Cartagena,Centro de distribución,L48680,Desmopresina Tableta,2639
CEDI Cartagena 1,Cartagena,Centro de distribución,L56898,Insulina NPH Suspensión inyectable,3806
CEDI Cartagena 1,Cartagena,Centro de distribución,L58351,Vacuna Neumococo Tableta,956
CEDI Cartagena 1,Cartagena,Centro de distribución,L59808,Vacuna Polio Inactivada Jarabe,1095
CEDI Cartagena 1,Cartagena,Centro de distribución,L60277,Filgrastim Suspensión inyectable,2460
CEDI Cartagena 1,Cartagena,Centro de distribución,L62383,Eritropoyetina Jarabe,3743
CEDI Cartagena 1,Cartagena,Centro de distribución,L63545,Vacuna COVID-19 Ampolla,344
CEDI Cartagena 1,Cartagena,Centro de distribución,L64008,Vacuna Varicela Ampolla,4797
CEDI Cartagena 1,Cartagena,Centro de distribución,L67711,Heparina Sódica Tableta,2950
CEDI Cartagena 1,Cartagena,Centro de distribución,L68138,Bevacizumab Jeringa prellenada,66
CEDI Cartagena 1,Cartagena,Centro de distribución,L69087,Calcitonina Ampolla,2982
