almacen_id,almacen_nombre,ciudad_nombre,mes,temp_promedio_mes,temp_promedio_mes_anterior,variacion_vs_mes_anterior,media_movil_3_meses,desviacion_estandar_almacen,ranking_estabilidad_ciudad
1,Unidad de Salud Barranquilla 5,Barranquilla,2026-02-01,21.850000,NULL,NULL,21.850000,1.52,1
1,Unidad de Salud Barranquilla 5,Barranquilla,2026-03-01,18.310000,21.850000,-3.540000,20.080000,1.52,1
1,Unidad de Salud Barranquilla 5,Barranquilla,2026-04-01,21.360000,18.310000,3.050000,20.510000,1.52,1
1,Unidad de Salud Barranquilla 5,Barranquilla,2026-05-01,20.700000,21.360000,-.660000,20.120000,1.52,1
1,Unidad de Salud Barranquilla 5,Barranquilla,2026-06-01,20.360000,20.700000,-.340000,20.810000,1.52,1
1,Unidad de Salud Barranquilla 5,Barranquilla,2026-07-01,23.300000,20.360000,2.940000,21.450000,1.52,1
2,CEDI Bogotá 13,Bogotá,2026-02-01,-17.630000,NULL,NULL,-17.630000,1.71,1
2,CEDI Bogotá 13,Bogotá,2026-03-01,-23.250000,-17.630000,-5.620000,-20.440000,1.71,1
2,CEDI Bogotá 13,Bogotá,2026-04-01,-19.340000,-23.250000,3.910000,-20.070000,1.71,1
2,CEDI Bogotá 13,Bogotá,2026-05-01,-21.110000,-19.340000,-1.770000,-21.230000,1.71,1
2,CEDI Bogotá 13,Bogotá,2026-06-01,-20.500000,-21.110000,.610000,-20.320000,1.71,1
2,CEDI Bogotá 13,Bogotá,2026-07-01,-20.850000,-20.500000,-.350000,-20.820000,1.71,1
3,Planta Bogotá 2,Bogotá,2026-02-01,-18.300000,NULL,NULL,-18.300000,2.2200000000000002,2
3,Planta Bogotá 2,Bogotá,2026-03-01,-21.430000,-18.300000,-3.130000,-19.870000,2.2200000000000002,2
3,Planta Bogotá 2,Bogotá,2026-04-01,-20.230000,-21.430000,1.200000,-19.990000,2.2200000000000002,2
3,Planta Bogotá 2,Bogotá,2026-05-01,-20.710000,-20.230000,-.480000,-20.790000,2.2200000000000002,2
