medicamento_nombre,lote_codigo,fecha_fabricacion,fecha_vencimiento
Adalimumab Jeringa prellenada,L72518,2023-08-16,2025-08-05
Adalimumab Jeringa prellenada,L54092,2023-10-01,2026-09-15
Adalimumab Jeringa prellenada,L84963,2025-08-08,2027-07-29
Adalimumab Jeringa prellenada,L15075,2026-03-24,2027-09-15
Adalimumab Jeringa prellenada,L52906,2024-10-10,2027-09-25
Adalimumab Suspensión inyectable,L99687,2024-04-07,2025-04-02
Adalimumab Suspensión inyectable,L96951,2024-03-03,2025-08-25
Adalimumab Suspensión inyectable,L61116,2025-12-09,2027-06-02
Adalimumab Suspensión inyectable,L86931,2026-05-02,2027-10-24
Bevacizumab Jarabe,L69460,2025-07-02,2026-12-24
Bevacizumab Jarabe,L43065,2024-01-18,2027-01-02
Bevacizumab Jarabe,L95841,2024-02-22,2027-02-06
Bevacizumab Jarabe,L74251,2024-03-07,2027-02-20
Bevacizumab Jarabe,L92544,2024-09-05,2027-08-21
Bevacizumab Jeringa prellenada,L68138,2024-01-01,2024-12-26
Bevacizumab Jeringa prellenada,L79066,2025-04-26,2026-04-21
Bevacizumab Jeringa prellenada,L13804,2025-10-08,2027-09-28
Bevacizumab Jeringa prellenada,L38760,2025-02-12,2028-01-28
Bevacizumab Jeringa prellenada,L89570,2026-01-25,2029-01-09
Calcitonina Ampolla,L82848,2023-08-24,2025-02-14
Calcitonina Ampolla,L15778,2023-08-11,2025-07-31
Calcitonina Ampolla,L15965,2023-11-23,2025-11-12
Calcitonina Ampolla,L67654,2024-01-09,2025-12-29
Calcitonina Ampolla,L78327,2026-04-22,2027-10-14
Calcitonina Ampolla,L85248,2024-11-09,2027-10-25
Calcitonina Ampolla,L69087,2024-12-15,2027-11-30
Calcitonina Ampolla,L33788,2026-01-12,2028-12-27
Calcitonina Ampolla,L56025,2026-06-12,2029-05-27
Desmopresina Jarabe,L29313,2023-09-23,2024-09-17
Desmopresina Jarabe,L19961,2024-12-13,2025-12-08
Desmopresina Jarabe,L70332,2025-07-20,2027-07-10
Desmopresina Jeringa prellenada,L50768,2024-03-12,2025-03-07
Desmopresina Suspensión inyectable,L39949,2025-11-28,2027-11-18
Desmopresina Suspensión inyectable,L80592,2026-04-21,2028-04-10
Desmopresina Tableta,L61717,2023-09-01,2025-08-21
Desmopresina Tableta,L40005,2023-09-15,2025-09-04
Desmopresina Tableta,L51224,2025-01-01,2026-12-22
Desmopresina Tableta,L21188,2024-02-10,2027-01-25
Desmopresina Tableta,L39451,2024-03-23,2027-03-08
Desmopresina Tableta,L79531,2024-10-17,2027-10-02
Desmopresina Tableta,L48680,2025-06-03,2028-05-18
Desmopresina Tableta,L71605,2025-07-16,2028-06-30
Enoxaparina Ampolla,L80702,2023-11-18,2025-11-07
Enoxaparina Ampolla,L32838,2025-01-28,2026-01-23
Enoxaparina Ampolla,L22196,2025-03-28,2026-09-19
Enoxaparina Ampolla,L16629,2025-06-17,2026-12-09
Enoxaparina Jarabe,L10800,2024-08-09,2026-01-31
